game_lineups_id,game_id,type,number,player_id,player_name,team_captain,sub_position
58e4c28823ad13dae54aab0aaa242fdc,4096026,starting_lineup,13,355369,Jordan,0,Centre-Forward
94cd274993a2b0bfbd93b629995a0df6,4096027,starting_lineup,23,124732,John Anthony Brooks,0,Centre-Back
2f08bd17890589ee3d764252d79e903d,4096030,substitutes,7,504215,Giovanni Reyna,0,Attacking Midfield
c9089d7f80dc33ac60079fa242694633,4096035,substitutes,13,355369,Jordan,0,Centre-Forward
6b3e470b0a3d5cf7bba70918a093c2e6,4096036,starting_lineup,23,124732,John Anthony Brooks,0,Centre-Back
68c060a21019ec1764685cece7b47f1a,4096042,starting_lineup,7,504215,Giovanni Reyna,0,Left Winger
d53eb3fd74523d6dd4536653c145ae96,4096042,substitutes,22,49723,Timothy Chandler,0,Right-Back
bfa28568557efe67138c65a1689a8d40,4096043,starting_lineup,13,355369,Jordan,0,Centre-Forward
eecb5b0ad12e1fed09303f61026d8ba3,4096047,starting_lineup,23,124732,John Anthony Brooks,0,Centre-Back
d113073818e1b6fd04da05ba068212be,4096048,substitutes,7,504215,Giovanni Reyna,0,Attacking Midfield
7f60ed14020a91df66a709a849c9ceb5,4096050,starting_lineup,13,355369,Jordan,0,Centre-Forward
0af3c7b5f2eaf213946bd696c7447324,4096054,substitutes,23,124732,John Anthony Brooks,0,Centre-Back
3efc21c645e46b2f411bcdb1710aa444,4096061,substitutes,22,49723,Timothy Chandler,0,Right-Back
fa8e3335ef10ac1a69fa12315da66334,4096063,substitutes,23,124732,John Anthony Brooks,0,Centre-Back
5342781b290f24eda3c654c5147c2e8e,4096064,substitutes,7,504215,Giovanni Reyna,0,Attacking Midfield
cda78a6df695090af7736b222c0a4042,4097133,substitutes,9,393325,Josh Sargent,0,Centre-Forward
9134ebd2409386ccc95b50cd0d5bf4b6,4097932,substitutes,8,361104,Sergino Dest,0,Right-Back
e22997486498ba5d4ccf480d215bbd5b,4097942,starting_lineup,8,361104,Sergino Dest,0,Right-Back
af42027212cb4222dea9bb891441db00,4097956,starting_lineup,8,361104,Sergino Dest,0,Left-Back
b5126fcd895098c64a4103efc16ea6f7,4097959,starting_lineup,8,361104,Sergino Dest,0,Right-Back
a4f6c3f76c618614f53124db98753cf9,4097970,starting_lineup,8,361104,Sergino Dest,0,Left-Back
e5b2dff0def8375ac33780a3f8152719,4097986,substitutes,8,361104,Sergino Dest,0,Right-Back
7e916b63a3e97cbcd48e5a99d511276c,4097996,starting_lineup,8,361104,Sergino Dest,0,Right-Back
f0a0651b89244db37b330d3bc344a6ca,4098009,starting_lineup,8,361104,Sergino Dest,0,Left-Back
42ef1a19cad84986cb3e085942191c9f,4098103,starting_lineup,8,361104,Sergino Dest,0,Left-Back
4d5d7a2e7cf7ec9b0603b8d3661f5943,4103472,starting_lineup,11,315779,Christian Pulisic,0,Right Winger
111103b04bb5ae5393c6e4e3eba4901a,4103481,starting_lineup,22,370846,Timothy Weah,0,Right Midfield
3bf367fa2678099c727fa8f353054514,4103481,substitutes,16,332697,Weston McKennie,0,Right Midfield
92b44b18fb155e79ec230a67374f9764,4103486,starting_lineup,22,370846,Timothy Weah,0,Right Midfield
dad241d31ea3668b8a4a026acca2bc37,4103486,substitutes,16,332697,Weston McKennie,0,Central Midfield
5c4539ca03600a77434e9a796365ea7b,4103488,starting_lineup,11,315779,Christian Pulisic,0,Right Winger
c8e3addbc5346169d4fd3ec3f351de9b,4103494,starting_lineup,16,332697,Weston McKennie,0,Right Midfield
6977e91ebe292a2cc16761e5bc4fe2c0,4103494,substitutes,22,370846,Timothy Weah,0,Right Midfield
37419eb7ccc71d265e7bc935c391895e,4103498,starting_lineup,11,315779,Christian Pulisic,0,Right Winger
24762c5cfd73a3d7506af76c2690fd32,4103507,starting_lineup,11,315779,Christian Pulisic,0,Right Winger
ffaef02c8133557f0700afc78ebb3618,4103508,starting_lineup,16,332697,Weston McKennie,0,Right Midfield
