appearance_id,game_id,player_id,date,player_name,competition_id,yellow_cards,red_cards,goals,assists,minutes_played
2224595_161244,2224595,161244,2012-10-28,Conor O'Brien,DK1,0,0,0,0,90
2224596_39467,2224596,39467,2012-10-28,Clarence Goodson,DK1,1,0,0,0,90
2225511_27577,2225511,27577,2012-10-28,Clint Dempsey,GB1,0,0,1,0,90
2225511_3476,2225511,3476,2012-10-28,Brad Friedel,GB1,0,0,0,0,90
2225520_4267,2225520,4267,2012-10-28,Tim Howard,GB1,0,0,0,0,90
2250257_39378,2250257,39378,2012-10-28,Jozy Altidore,NL1,0,0,0,1,90
2224771_39475,2224771,39475,2012-10-30,Sacha Kljestan,BE1,0,0,0,0,90
2258319_1321,2258319,1321,2012-10-30,Jermaine Jones,DFB,0,0,0,0,90
2251361_30593,2251361,30593,2012-10-31,Michael Bradley,IT1,0,0,0,0,67
2258318_1335,2258318,1335,2012-10-31,Steven Cherundolo,DFB,0,0,0,0,120
2267606_46472,2267606,46472,2012-10-31,Charlie Davies,DKP,0,0,0,0,81
2269534_12517,2269534,12517,2012-10-31,Oguchi Onyewu,CDR,1,0,1,0,90
2266631_39378,2266631,39378,2012-11-01,Jozy Altidore,NLP,0,0,2,1,72
2267602_161244,2267602,161244,2012-11-01,Conor O'Brien,DKP,1,0,0,0,63
2224599_161244,2224599,161244,2012-11-03,Conor O'Brien,DK1,0,0,0,0,90
2224599_39897,2224599,39897,2012-11-03,Michael Parkhurst,DK1,0,0,0,1,90
2224841_39475,2224841,39475,2012-11-03,Sacha Kljestan,BE1,0,0,0,1,90
2225515_4267,2225515,4267,2012-11-03,Tim Howard,GB1,0,0,0,0,90
2225534_31642,2225534,31642,2012-11-03,Geoff Cameron,GB1,0,0,0,0,90
2225535_39471,2225535,39471,2012-11-03,Brad Guzan,GB1,0,0,0,0,90
2225535_61575,2225535,61575,2012-11-03,Eric Lichaj,GB1,1,0,0,0,60
2225539_27577,2225539,27577,2012-11-03,Clint Dempsey,GB1,1,0,0,0,90
2225539_3476,2225539,3476,2012-11-03,Brad Friedel,GB1,0,0,0,0,90
2231493_1335,2231493,1335,2012-11-03,Steven Cherundolo,L1,0,0,0,0,90
2231496_49723,2231496,49723,2012-11-03,Timothy Chandler,L1,1,0,0,1,90
2231497_1321,2231497,1321,2012-11-03,Jermaine Jones,L1,0,0,0,0,77
2231497_31041,2231497,31041,2012-11-03,Fabian Johnson,L1,0,0,0,1,90
2231497_38383,2231497,38383,2012-11-03,Danny Williams,L1,0,0,0,0,90
2224601_39467,2224601,39467,2012-11-04,Clarence Goodson,DK1,0,0,0,0,90
2224608_46472,2224608,46472,2012-11-04,Charlie Davies,DK1,0,0,0,0,15
2250261_39378,2250261,39378,2012-11-04,Jozy Altidore,NL1,0,0,0,0,90
2251370_30593,2251370,30593,2012-11-04,Michael Bradley,IT1,0,0,0,0,90
2262197_1321,2262197,1321,2012-11-06,Jermaine Jones,CL,1,0,0,0,90
2262199_39475,2262199,39475,2012-11-06,Sacha Kljestan,CL,0,0,0,1,90
2262204_39897,2262204,39897,2012-11-07,Michael Parkhurst,CL,0,0,0,0,90
2267608_39467,2267608,39467,2012-11-07,Clarence Goodson,DKP,0,0,0,0,90
2262471_27577,2262471,27577,2012-11-08,Clint Dempsey,EL,0,0,0,0,8
2262475_1335,2262475,1335,2012-11-08,Steven Cherundolo,EL,0,0,0,0,90
2224648_119169,2224648,119169,2012-11-09,Aron Johannsson,DK1,0,0,0,0,32
2231471_49723,2231471,49723,2012-11-09,Timothy Chandler,L1,0,0,0,0,90
2224650_39897,2224650,39897,2012-11-10,Michael Parkhurst,DK1,1,0,0,1,90
2225525_39471,2225525,39471,2012-11-10,Brad Guzan,GB1,0,0,0,0,90
2225527_4267,2225527,4267,2012-11-10,Tim Howard,GB1,0,0,0,0,90
2225532_31642,2225532,31642,2012-11-10,Geoff Cameron,GB1,0,0,0,0,90
2231448_1321,2231448,1321,2012-11-10,Jermaine Jones,L1,0,0,0,1,90
2231483_31041,2231483,31041,2012-11-10,Fabian Johnson,L1,0,0,0,0,90
2231483_38383,2231483,38383,2012-11-10,Danny Williams,L1,0,0,0,0,90
2242923_12517,2242923,12517,2012-11-10,Oguchi Onyewu,ES1,0,0,0,0,90
2250273_39378,2250273,39378,2012-11-10,Jozy Altidore,NL1,0,0,1,0,90
2224649_161244,2224649,161244,2012-11-11,Conor O'Brien,DK1,0,0,0,0,90
2224653_39467,2224653,39467,2012-11-11,Clarence Goodson,DK1,1,0,0,0,90
2224842_39475,2224842,39475,2012-11-11,Sacha Kljestan,BE1,0,0,1,1,90
2225529_27577,2225529,27577,2012-11-11,Clint Dempsey,GB1,0,0,0,0,90
2225529_3476,2225529,3476,2012-11-11,Brad Friedel,GB1,0,0,0,0,90
2231478_1335,2231478,1335,2012-11-11,Steven Cherundolo,L1,0,0,0,0,87
2251377_30593,2251377,30593,2012-11-11,Michael Bradley,IT1,1,0,0,0,90
2224651_119169,2224651,119169,2012-11-16,Aron Johannsson,DK1,0,0,0,0,29
2224656_161244,2224656,161244,2012-11-17,Conor O'Brien,DK1,0,0,0,0,90
2225541_27577,2225541,27577,2012-11-17,Clint Dempsey,GB1,0,0,0,0,45
2225544_39471,2225544,39471,2012-11-17,Brad Guzan,GB1,0,0,0,0,90
2225553_4267,2225553,4267,2012-11-17,Tim Howard,GB1,0,0,0,0,90
2231477_1321,2231477,1321,2012-11-17,Jermaine Jones,L1,0,0,0,0,74
2231479_49723,2231479,49723,2012-11-17,Timothy Chandler,L1,1,0,0,0,90
2250280_39378,2250280,39378,2012-11-17,Jozy Altidore,NL1,0,0,0,1,90
2222707_104203,2222707,104203,2012-11-18,Eugene Starikov,RU1,0,0,0,0,79
2224856_39475,2224856,39475,2012-11-18,Sacha Kljestan,BE1,0,0,0,0,90
2231461_31041,2231461,31041,2012-11-18,Fabian Johnson,L1,0,0,0,0,90
2231461_38383,2231461,38383,2012-11-18,Danny Williams,L1,0,0,0,0,45
2224652_46472,2224652,46472,2012-11-19,Charlie Davies,DK1,0,0,0,0,3
2225558_31642,2225558,31642,2012-11-19,Geoff Cameron,GB1,0,0,0,0,90
2251389_30593,2251389,30593,2012-11-19,Michael Bradley,IT1,0,0,0,0,90
2262213_39897,2262213,39897,2012-11-20,Michael Parkhurst,CL,1,0,0,0,90
2262219_12517,2262219,12517,2012-11-21,Oguchi Onyewu,CL,0,0,0,0,90
2262222_1321,2262222,1321,2012-11-21,Jermaine Jones,CL,0,0,0,1,90
2262224_39475,2262224,39475,2012-11-21,Sacha Kljestan,CL,0,0,0,0,90
2262483_27577,2262483,27577,2012-11-22,Clint Dempsey,EL,0,0,0,0,63
2262487_1335,2262487,1335,2012-11-22,Steven Cherundolo,EL,0,0,0,0,90
2222721_104203,2222721,104203,2012-11-23,Eugene Starikov,RU1,0,0,0,0,72
2224630_46472,2224630,46472,2012-11-23,Charlie Davies,DK1,0,1,0,0,8
